year,category,sub_category,winner,entity,
2014,SOUND,SOUND MIXING,TRUE,Whiplash,
2014,SPECIAL EFFECTS,VISUAL EFFECTS,FALSE,Captain America: The Winter Soldier,
2014,SPECIAL EFFECTS,VISUAL EFFECTS,FALSE,Dawn of the Planet of the Apes,
2014,SPECIAL EFFECTS,VISUAL EFFECTS,FALSE,Guardians of the Galaxy,
2014,SPECIAL EFFECTS,VISUAL EFFECTS,TRUE,Interstellar,
2014,SPECIAL EFFECTS,VISUAL EFFECTS,FALSE,X-Men: Days of Future Past,
2014,WRITING,WRITING (Adapted Screenplay),FALSE,American Sniper,
2014,WRITING,WRITING (Adapted Screenplay),TRUE,The Imitation Game,
2014,WRITING,WRITING (Adapted Screenplay),FALSE,Inherent Vice,
2014,WRITING,WRITING (Adapted Screenplay),FALSE,The Theory of Everything,
2014,WRITING,WRITING (Adapted Screenplay),FALSE,Whiplash,
2014,WRITING,WRITING (Original Screenplay),TRUE,Birdman or (The Unexpected Virtue of Ignorance),
2014,WRITING,WRITING (Original Screenplay),FALSE,Boyhood,
2014,WRITING,WRITING (Original Screenplay),FALSE,Foxcatcher,
2014,WRITING,WRITING (Original Screenplay),FALSE,The Grand Budapest Hotel,
2014,WRITING,WRITING (Original Screenplay),FALSE,Nightcrawler,
2013,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,FALSE,The Croods,
2013,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,FALSE,Despicable Me 2,
2013,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,FALSE,Ernest & Celestine,
2013,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,TRUE,Frozen,
2013,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,FALSE,The Wind Rises,
2013,CINEMATOGRAPHY,CINEMATOGRAPHY,FALSE,The Grandmaster,
2013,CINEMATOGRAPHY,CINEMATOGRAPHY,TRUE,Gravity,
2013,CINEMATOGRAPHY,CINEMATOGRAPHY,FALSE,Inside Llewyn Davis,
2013,CINEMATOGRAPHY,CINEMATOGRAPHY,FALSE,Nebraska,
2013,CINEMATOGRAPHY,CINEMATOGRAPHY,FALSE,Prisoners,
2013,COSTUME DESIGN,COSTUME DESIGN,FALSE,American Hustle,
2013,COSTUME DESIGN,COSTUME DESIGN,FALSE,The Grandmaster,
